Agent ID,Agent Class,Trade Behavior,Total Wealth,EMPottery,IberianPottery,NAPottery,TarrPottery,WMPottery,ItalianPottery,AegeanPottery,EgyptianPottery,AdriaticPottery,GallicPottery,BaeticanPottery
58,Gallia,conservative_trade,0.0,1.9,1.3,1.3,2.2,1.8,1.3,1.6,1.2,1.7,1.1,1.0
59,Gallia,random_trade,0.0,3.1,2.2,3.4,2.6,4.3,2.7,1.8,3.1,3.3,2.1,2.9
60,Gallia,random_trade,0.0,2.3,3.6,2.2,2.8,3.4,2.6,3.0,2.6,2.8,2.7,4.1
61,Italy,conservative_trade,0.0,2.6,1.6,1.4,0.7,1.2,2.1,1.4,1.1,1.8,1.6,1.2
62,Italy,random_trade,0.0,3.1,4.0,2.5,1.8,2.8,2.5,2.3,2.7,2.9,2.3,2.8
63,Italy,random_trade,0.0,2.7,2.8,2.7,3.6,1.5,2.9,3.5,3.0,3.1,2.2,2.4
64,Italy,random_trade,0.0,2.7,2.9,2.9,3.0,2.6,2.2,3.0,2.8,3.4,2.6,2.8
65,Italy,random_trade,0.0,3.4,3.4,2.9,2.4,2.0,2.0,3.5,2.5,2.1,2.2,3.1
66,Italy,conservative_trade,0.0,1.6,1.1,1.7,2.0,2.4,1.6,1.6,1.0,1.8,1.6,1.8
67,Italy,aggressive_trade,0.0,6.3,4.1,6.7,6.0,6.3,6.6,5.5,6.9,6.1,6.2,5.8
68,Italy,conservative_trade,0.0,1.6,2.3,1.9,1.9,1.4,1.3,1.5,1.5,1.0,1.6,1.5
69,Italy,aggressive_trade,0.0,7.1,6.3,5.5,5.9,8.7,4.2,5.9,7.0,6.9,5.6,6.0
70,Italy,aggressive_trade,0.0,5.7,9.2,6.3,6.8,5.1,7.4,7.3,7.5,5.8,7.3,6.8
71,Iberian Peninsula,aggressive_trade,0.0,7.4,6.8,4.9,5.8,7.2,5.4,4.3,6.2,7.4,5.1,7.0
72,Iberian Peninsula,aggressive_trade,0.0,5.9,6.7,6.5,6.8,6.2,6.8,5.4,7.1,7.7,7.0,7.2
73,Iberian Peninsula,aggressive_trade,0.0,6.6,6.8,7.9,7.4,6.3,8.1,6.3,7.7,7.0,8.6,8.3
74,Iberian Peninsula,random_trade,0.0,3.8,2.4,1.6,3.0,2.9,3.1,2.4,2.5,2.3,2.6,2.8
75,Iberian Peninsula,conservative_trade,0.0,1.5,1.9,1.2,2.5,1.3,1.3,1.9,1.3,1.2,1.8,1.4
76,Iberian Peninsula,conservative_trade,0.0,1.5,1.7,1.9,1.5,0.9,1.6,1.6,2.0,1.9,1.4,1.5
77,Iberian Peninsula,conservative_trade,0.0,1.2,1.5,1.7,1.9,1.4,1.4,1.9,1.5,1.2,1.4,1.7
78,Iberian Peninsula,aggressive_trade,0.0,7.3,6.0,8.0,6.1,8.4,7.4,7.6,6.9,7.9,7.2,7.4
79,Iberian Peninsula,aggressive_trade,0.0,7.3,9.4,7.6,8.2,8.6,8.6,8.1,7.6,8.4,7.6,7.4
80,Iberian Peninsula,random_trade,0.0,3.5,3.4,2.9,3.1,3.4,3.1,2.7,1.4,2.5,4.0,2.3
81,North Africa,random_trade,0.0,3.1,2.6,4.0,3.0,3.1,2.2,1.9,2.5,2.8,2.5,1.9
82,North Africa,conservative_trade,0.0,1.1,1.8,1.4,1.2,2.3,1.5,1.5,1.8,1.7,1.7,1.4
83,North Africa,random_trade,0.0,5.0,3.0,2.9,3.4,3.3,2.4,2.8,3.7,2.5,3.0,3.0
84,North Africa,aggressive_trade,0.0,7.9,8.8,7.4,8.2,6.2,7.2,7.4,7.3,7.8,6.4,6.8
85,North Africa,aggressive_trade,0.0,10.0,8.4,8.0,5.9,8.8,6.7,9.1,7.4,8.1,7.8,7.8
86,North Africa,conservative_trade,0.0,1.7,1.7,1.4,1.9,1.6,2.1,2.1,1.7,1.5,1.3,0.9
87,North Africa,random_trade,0.0,1.8,2.3,3.3,3.1,2.7,3.9,4.5,3.5,2.8,3.3,2.9
88,North Africa,conservative_trade,0.0,1.8,1.1,1.6,2.2,1.4,2.2,1.7,1.4,1.9,1.8,1.5
89,North Africa,aggressive_trade,0.0,8.7,9.3,9.8,8.2,6.3,6.7,8.1,9.4,9.1,9.0,7.9
90,North Africa,aggressive_trade,0.0,8.8,8.4,9.6,9.1,8.3,8.7,8.5,9.6,8.5,9.6,10.9
91,Tarraconensis,aggressive_trade,0.0,8.0,9.3,8.8,6.9,9.2,8.2,6.9,6.3,9.6,7.9,7.8
92,Tarraconensis,random_trade,0.0,3.0,3.2,2.8,2.3,2.0,2.1,3.3,3.5,3.6,2.7,3.9
93,Tarraconensis,random_trade,0.0,3.0,2.2,2.9,3.2,1.8,3.0,3.0,2.3,2.5,3.0,2.6
94,Tarraconensis,conservative_trade,0.0,1.8,1.4,2.6,1.4,2.0,1.0,2.1,1.4,1.2,1.7,1.6
95,Tarraconensis,conservative_trade,0.0,1.2,2.6,1.6,2.1,1.1,1.2,1.2,1.7,1.3,1.5,1.6
96,Tarraconensis,conservative_trade,0.0,1.4,2.1,1.7,1.2,1.8,1.9,1.7,1.5,2.1,1.9,0.7
97,Tarraconensis,aggressive_trade,275.0,8.0,9.2,9.0,9.1,9.8,10.2,9.2,10.2,8.5,7.8,9.9
98,Tarraconensis,aggressive_trade,449.8,10.0,8.3,9.5,10.1,11.4,8.6,9.6,8.9,9.8,9.7,11.5
99,Tarraconensis,aggressive_trade,8604.2,10.2,10.1,9.5,9.9,10.5,9.4,12.5,8.5,10.6,10.9,10.9
100,Tarraconensis,random_trade,0.0,3.4,3.1,3.6,3.3,4.0,3.6,3.0,3.1,2.8,3.1,2.6
101,Western Mediterranean,aggressive_trade,61.8,8.1,8.0,9.5,9.6,9.6,10.1,10.2,10.5,8.4,12.1,10.7
102,Western Mediterranean,random_trade,0.0,3.3,3.1,2.0,2.4,3.4,2.8,2.5,3.6,4.0,3.3,2.7
103,Western Mediterranean,random_trade,0.0,4.2,2.5,2.7,3.1,2.9,3.9,2.4,3.3,3.1,3.1,2.7
104,Western Mediterranean,random_trade,0.0,3.3,2.9,2.4,2.9,2.7,2.9,3.5,4.7,4.2,2.8,3.8
105,Western Mediterranean,random_trade,0.0,2.6,2.8,3.5,2.9,2.0,3.8,3.2,3.2,2.5,3.4,3.0
106,Western Mediterranean,random_trade,0.0,3.4,3.1,2.8,3.3,3.3,3.8,2.8,3.7,2.1,3.3,3.2
107,Western Mediterranean,aggressive_trade,8935.2,12.1,10.2,9.5,11.2,10.8,11.1,9.4,11.9,10.4,11.6,9.0
108,Western Mediterranean,aggressive_trade,12981.9,11.1,11.5,10.7,14.4,9.9,11.7,10.0,13.2,11.6,8.7,9.1
109,Western Mediterranean,aggressive_trade,22731.9,10.7,13.0,12.0,9.4,12.1,12.3,13.4,10.5,11.1,11.6,11.2
110,Western Mediterranean,random_trade,0.0,3.0,4.1,2.4,4.8,3.0,3.1,3.5,4.2,3.8,3.5,3.1
