Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery,total_pottery
33,Eastern Mediterranean,random_trade,False,"-0,56","2,6","3,6","3,6","4,2","4,1","3,7","4,9","3,8","3,3","3,3","0,5","37,6"
34,Eastern Mediterranean,conservative_trade,False,"-0,64","1,1","1,3","1,5","1,9","1,6","1,8","4,9","1,4","1,9","1,9",0,"19,3"
35,Eastern Mediterranean,aggressive_trade,False,"-0,4",10,"11,3333333333","11,3333333333",10,"11,6666666667","14,6666666667","6,6666666667","11,6666666667","12,3333333333","10,3333333333","2,6666666667","112,6666666667"
35,Eastern Mediterranean,aggressive_trade,True,"827,5",13,"13,2857142857","11,8571428571","13,8571428571","10,5714285714","11,2857142857","26,1428571429","10,5714285714","12,1428571429","11,7142857143","0,5714285714",135
36,Eastern Mediterranean,conservative_trade,False,"-0,68","1,5","1,5","0,9","1,8","1,5","1,6","3,7","1,7","1,6","2,3","0,2","18,3"
37,Eastern Mediterranean,random_trade,False,"-0,73","4,1","3,9","3,6","3,1",3,"4,6","3,9","2,5","2,5","3,3","0,4","34,9"
38,Eastern Mediterranean,aggressive_trade,False,"-0,6333333334","16,6666666667","12,3333333333","9,6666666667",11,9,"8,3333333333",14,8,9,"10,6666666667",3,"111,6666666667"
38,Eastern Mediterranean,aggressive_trade,True,"1321,8285714286","11,5714285714",14,"13,5714285714",12,"12,8571428571",12,"19,5714285714","14,2857142857","12,5714285714","12,8571428571","1,2857142857","136,5714285714"
39,Eastern Mediterranean,conservative_trade,False,"-0,7","1,9","1,4","1,2","1,5","1,7",2,"3,2","1,6","1,9","1,3",0,"17,7"
40,Eastern Mediterranean,aggressive_trade,False,"-0,525","11,5","9,5","12,5","9,25","7,75","11,5",14,"11,5",13,"9,25",4,"113,75"
40,Eastern Mediterranean,aggressive_trade,True,"2518,5","10,1666666667","13,6666666667","14,6666666667","12,5",14,"14,8333333333",19,"14,1666666667","12,1666666667","11,8333333333","0,6666666667","137,6666666667"
41,Egypt,aggressive_trade,False,"-0,7","10,8","12,6","11,6",13,11,"12,6","12,2","9,6","10,8","11,6","1,2",117
41,Egypt,aggressive_trade,True,"2272,6600000001","11,4","11,8","12,2","11,4","13,4",11,26,12,"13,2","13,6","1,2","137,2"
42,Egypt,aggressive_trade,False,"-0,84","11,6","11,4","12,6","13,4",13,12,"13,6",10,"13,8","9,2","1,2","121,8"
42,Egypt,aggressive_trade,True,"572,9599999999","16,6","17,4","12,8","13,6","12,4","9,6","12,2","13,2","12,8","13,8",3,"137,4"
43,Egypt,random_trade,False,"-0,76","3,6","3,8","2,9","3,7","3,1","3,8","5,2","4,2","2,3","4,1","0,6","37,3"
44,Egypt,random_trade,False,"-0,6","2,1","3,1","2,5","3,7","3,6",4,"4,5","4,6","4,8","3,8",1,"37,7"
45,Egypt,aggressive_trade,False,"-0,7","9,6",10,"11,8",10,10,"8,6","12,4","9,8","10,8","9,4","2,2","104,6"
45,Egypt,aggressive_trade,True,"2408,9999999999","11,8","12,8","10,8","11,8",11,"9,2","35,2",14,"9,6","12,8","0,6","139,6"
46,Egypt,conservative_trade,False,"-0,84","2,1","1,8","0,8","1,2","1,5","2,2","3,4","1,6","1,1","1,9","0,3","17,9"
47,Egypt,aggressive_trade,False,"-0,775","11,5","11,5","9,25","8,5",8,"9,75",5,"8,75","12,75",12,2,99
47,Egypt,aggressive_trade,True,"3128,1333333333","14,8333333333","11,6666666667","14,8333333333","12,6666666667","14,1666666667","15,5","17,6666666667","9,1666666667","13,6666666667","13,8333333333","2,3333333333","140,3333333333"
48,Egypt,aggressive_trade,False,"-0,76","9,8","10,4","10,2","10,6","14,2","10,2",10,12,"9,8","8,8",2,108
