Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery
44,Egypt,random_trade,False,-0.6000000000010065,2.1,3.1,2.5,3.7,3.6,4.0,4.5,4.6,4.8,3.8,1.0
45,Egypt,aggressive_trade,False,-0.6999999999997354,9.6,10.0,11.8,10.0,10.0,8.6,12.4,9.8,10.8,9.4,2.2
45,Egypt,aggressive_trade,True,2408.9999999999204,11.8,12.8,10.8,11.8,11.0,9.2,35.2,14.0,9.6,12.8,0.6
46,Egypt,conservative_trade,False,-0.8400000000007048,2.1,1.8,0.8,1.2,1.5,2.2,3.4,1.6,1.1,1.9,0.3
47,Egypt,aggressive_trade,False,-0.7750000000356556,11.5,11.5,9.25,8.5,8.0,9.75,5.0,8.75,12.75,12.0,2.0
47,Egypt,aggressive_trade,True,3128.133333333304,14.833333333333334,11.666666666666666,14.833333333333334,12.666666666666666,14.166666666666666,15.5,17.666666666666668,9.166666666666666,13.666666666666666,13.833333333333334,2.3333333333333335
48,Egypt,aggressive_trade,False,-0.7600000000229455,9.8,10.4,10.2,10.6,14.2,10.2,10.0,12.0,9.8,8.8,2.0
48,Egypt,aggressive_trade,True,1513.360000000016,12.6,15.8,10.4,7.2,14.4,15.2,24.8,12.0,9.0,10.6,1.0
49,Egypt,conservative_trade,False,-0.7300000000006172,2.7,1.1,1.8,2.2,1.6,1.4,2.6,1.5,1.9,1.4,0.4
50,Egypt,conservative_trade,False,-0.6200000000006068,1.4,1.2,1.6,1.4,1.8,1.6,3.4,1.8,1.3,2.3,0.2
51,Gallia,conservative_trade,False,-0.6500000000007174,1.4,1.7,2.0,1.5,1.7,1.4,3.5,2.6,2.1,1.4,0.0
52,Gallia,aggressive_trade,False,-0.44000000001740347,10.4,11.2,15.6,10.0,11.2,11.4,6.6,14.4,14.0,12.4,2.8
52,Gallia,aggressive_trade,True,2942.880000000002,10.6,12.2,11.6,12.2,9.6,11.8,36.0,11.0,10.2,11.4,2.0
53,Gallia,random_trade,False,-0.5800000000008814,3.8,3.0,4.2,3.3,4.7,3.7,3.8,3.5,3.3,3.2,0.4
54,Gallia,aggressive_trade,False,-0.6000000000204339,10.857142857142858,10.714285714285714,12.285714285714286,10.285714285714286,9.285714285714286,11.142857142857142,6.285714285714286,10.571428571428571,12.0,10.857142857142858,3.2857142857142856
54,Gallia,aggressive_trade,True,1103.8333333333014,11.333333333333334,12.666666666666666,13.0,18.333333333333332,9.666666666666666,18.333333333333332,17.0,12.666666666666666,14.0,11.0,1.0
55,Gallia,aggressive_trade,False,-0.7000000000208765,8.333333333333334,10.0,12.0,10.333333333333334,11.333333333333334,7.666666666666667,10.333333333333334,8.666666666666666,12.0,8.666666666666666,2.6666666666666665
55,Gallia,aggressive_trade,True,1407.928571428532,12.142857142857142,10.142857142857142,13.857142857142858,13.857142857142858,11.857142857142858,8.857142857142858,22.285714285714285,13.142857142857142,13.857142857142858,13.857142857142858,1.0
56,Gallia,random_trade,False,-0.5800000000008044,4.4,4.0,3.8,4.0,3.4,3.7,4.2,3.8,2.5,3.8,0.4
57,Gallia,aggressive_trade,False,-0.8249999999967601,8.25,12.0,10.75,9.25,12.0,13.0,14.0,9.75,11.25,11.5,1.0
57,Gallia,aggressive_trade,True,2163.699999999963,10.0,11.0,12.833333333333334,12.0,11.5,12.833333333333334,32.333333333333336,12.833333333333334,12.666666666666666,10.333333333333334,1.5
58,Gallia,conservative_trade,False,-0.5500000000006829,2.0,1.4,2.1,1.3,1.7,1.4,3.6,2.4,2.1,1.2,0.0
