Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery
65,Gallia,random_trade,False,2.1352499999999752,2.0,0.5,2.0,2.0,0.9,1.1,0.8,1.1,2.2,1.4,1.8
66,Private,random_trade,False,1.5849999999999622,1.0,1.3,1.9,1.4,1.4,1.0,1.2,1.8,3.0,1.4,0.7
67,Iberian Peninsula,random_trade,False,1.1269999999999893,1.8,0.6,1.3,1.8,1.8,0.2,1.4,2.3,1.4,2.1,2.2
68,Iberian Peninsula,conservative_trade,False,2.2547499999999445,1.4,1.8,0.7,0.9,0.9,1.1,0.9,0.7,1.7,1.2,0.8
69,Iberian Peninsula,random_trade,False,1.8135000000000123,1.4,0.6,2.3,1.9,1.3,1.1,0.5,1.1,2.8,1.5,1.6
70,Iberian Peninsula,conservative_trade,False,1.2545000000000222,1.7,0.9,0.6,1.2,0.4,0.9,0.8,0.9,1.4,1.2,1.9
71,Iberian Peninsula,aggressive_trade,False,4.596249999999918,4.3,0.2,3.7,2.6,2.4,0.6,0.4,2.2,6.4,2.3,5.8
72,Iberian Peninsula,conservative_trade,False,3.775749999999983,1.4,1.8,1.2,1.3,0.8,0.7,0.7,0.5,1.5,1.7,1.0
73,Iberian Peninsula,conservative_trade,False,2.023249999999952,1.3,1.0,1.4,1.5,1.1,0.9,1.0,0.6,1.2,1.4,1.9
74,Iberian Peninsula,random_trade,False,1.6787500000000275,1.8,0.7,2.3,1.5,0.8,0.6,0.9,2.0,2.0,1.1,1.3
75,Iberian Peninsula,aggressive_trade,False,1.3992500000001065,4.7,0.9,4.9,2.4,2.9,0.8,1.1,3.5,4.6,2.1,4.2
76,Iberian Peninsula,conservative_trade,False,4.093499999999979,0.9,1.1,0.6,0.9,1.4,1.8,1.3,1.1,0.6,1.2,1.0
77,Private,conservative_trade,False,2.0034999999999603,1.1,1.5,0.9,0.7,1.1,1.8,1.8,1.1,0.9,1.3,1.0
78,Italy,aggressive_trade,False,1.3082499999998973,3.2,1.0,3.5,3.3,3.2,0.6,0.6,2.6,5.7,2.5,3.9
79,Italy,aggressive_trade,False,1.8987499999999566,2.7,0.9,3.7,2.7,4.1,1.2,0.9,3.5,4.7,2.7,3.9
80,Italy,conservative_trade,False,2.9465000000000092,0.9,1.1,0.8,0.7,0.7,1.7,1.6,1.1,1.3,1.1,1.4
81,Italy,aggressive_trade,False,2.40099999999974,4.5,0.7,3.4,3.1,3.4,1.1,0.6,3.4,5.5,2.9,4.3
82,Italy,aggressive_trade,False,0.9164999999997671,4.0,0.9,5.3,2.6,2.8,0.7,0.7,3.4,3.7,2.7,4.3
83,Italy,conservative_trade,False,3.062749999999972,1.2,1.4,1.4,1.2,1.0,1.2,1.5,0.3,0.7,0.7,2.0
84,Italy,conservative_trade,False,3.3920000000000483,1.3,1.0,0.9,1.2,1.1,0.7,1.0,1.4,2.1,0.7,0.7
85,Italy,conservative_trade,False,2.3784999999999963,1.0,1.2,1.1,0.9,0.9,0.9,1.4,0.8,1.2,1.4,1.3
86,Italy,conservative_trade,False,3.4095000000000057,1.3,1.2,1.1,0.4,1.7,1.1,2.4,0.7,0.9,0.9,0.5
87,Italy,conservative_trade,False,1.9375000000000209,1.7,1.5,0.9,1.0,1.3,2.1,0.9,0.6,1.3,0.6,1.0
88,Private,conservative_trade,False,3.5197500000000126,1.4,1.3,1.1,1.3,1.1,1.4,1.1,0.7,1.4,1.6,0.9
89,North Africa,random_trade,False,1.8754999999999868,1.3,0.8,0.9,2.3,1.2,0.8,1.1,1.6,2.6,1.2,1.5
90,North Africa,conservative_trade,False,2.321000000000045,0.7,1.3,1.3,0.6,1.6,1.4,1.2,1.2,0.9,1.0,0.7
91,North Africa,aggressive_trade,False,2.4434999999998253,4.7,1.0,3.4,3.3,1.6,0.5,0.5,3.0,5.2,3.2,4.2
92,North Africa,random_trade,False,2.2839999999999114,2.1,0.7,1.8,1.2,1.8,0.9,2.0,1.7,1.2,1.3,2.2
93,North Africa,aggressive_trade,False,4.777250000000075,3.9,0.7,4.7,3.3,2.4,0.8,0.9,4.0,5.0,3.0,3.7
94,North Africa,random_trade,False,0.9174999999999705,2.0,0.4,1.1,1.0,2.2,0.8,1.5,1.7,2.0,1.9,1.4
95,North Africa,random_trade,False,2.0700000000000016,1.9,1.0,1.5,1.7,2.1,1.4,0.6,1.3,2.0,1.3,1.8
96,North Africa,aggressive_trade,False,1.1477499999997867,5.8,0.6,6.0,2.3,1.3,0.5,0.5,1.6,5.0,2.6,6.1
97,North Africa,random_trade,False,2.3789999999999254,1.4,1.1,2.8,1.0,1.2,0.6,1.1,1.8,1.7,1.3,2.4
98,North Africa,random_trade,False,2.9087499999999107,1.4,0.7,1.7,1.3,2.3,0.9,0.8,2.2,1.8,2.1,1.4
99,Private,random_trade,False,3.500500000000001,2.1,1.1,1.8,1.5,1.9,0.9,1.0,1.9,1.7,2.2,1.9
100,Tarraconensis,aggressive_trade,False,2.9667499999998554,4.5,1.2,5.3,2.7,2.5,0.4,1.0,3.4,4.5,2.4,5.1
101,Tarraconensis,aggressive_trade,False,3.9922499999999403,7.1,0.5,5.5,2.0,2.7,0.5,0.6,3.1,3.7,2.7,6.6
102,Tarraconensis,aggressive_trade,False,4.773249999999665,4.3,0.6,2.7,3.3,3.7,1.0,0.6,3.7,4.6,3.9,6.5
103,Tarraconensis,random_trade,False,4.1054999999999655,1.9,1.2,1.7,1.8,1.8,0.9,1.1,2.0,2.1,1.3,1.6
104,Tarraconensis,aggressive_trade,False,4.281000000000032,4.5,0.8,4.9,3.1,3.0,0.1,0.5,2.1,6.4,3.0,4.9
105,Tarraconensis,aggressive_trade,False,2.2437500000002673,6.0,0.1,5.2,2.9,2.5,0.2,0.3,3.6,6.9,3.0,5.7
106,Tarraconensis,random_trade,False,2.7399999999999336,1.4,1.0,2.0,1.7,2.1,0.9,1.9,1.1,1.9,1.0,2.3
107,Tarraconensis,conservative_trade,False,3.9965000000000166,1.4,1.4,1.0,1.5,0.4,1.1,1.1,1.1,1.4,0.8,1.0
108,Tarraconensis,conservative_trade,False,3.8932499999999814,1.6,1.3,0.9,0.9,1.0,1.2,1.8,0.9,0.9,0.8,1.3
109,Tarraconensis,conservative_trade,False,3.184000000000009,1.0,0.7,1.1,0.9,1.3,1.8,0.7,0.6,1.1,1.3,1.6
110,Private,conservative_trade,False,1.1239999999999348,1.7,1.4,1.5,0.9,1.8,1.1,1.3,1.0,0.6,0.6,1.3
111,Western Mediterranean,conservative_trade,False,2.9859999999999984,1.3,1.0,0.6,1.0,1.0,1.4,1.4,0.8,1.0,1.4,1.9
112,Western Mediterranean,random_trade,False,3.089250000000004,1.6,1.5,1.9,1.7,1.5,1.4,1.3,1.0,1.5,2.2,1.7
113,Western Mediterranean,aggressive_trade,False,2.1044999999998675,6.2,0.5,5.7,2.2,2.4,0.6,0.6,2.5,5.0,3.3,6.6
114,Western Mediterranean,random_trade,False,1.6017499999999607,1.5,1.4,2.4,1.2,1.7,1.4,1.1,1.1,1.1,1.9,2.2
115,Western Mediterranean,aggressive_trade,False,4.2627500000002,8.4,1.1,6.3,3.1,3.3,0.6,0.2,2.3,3.7,2.2,5.7
116,Western Mediterranean,random_trade,False,2.9082499999999647,2.0,0.5,1.7,1.5,1.3,1.2,1.0,1.4,2.2,2.3,2.2
117,Western Mediterranean,aggressive_trade,False,3.573500000000094,4.5,0.5,5.5,4.6,3.4,0.8,0.3,3.3,7.3,3.3,4.5
118,Western Mediterranean,aggressive_trade,False,5.367000000000067,8.2,0.5,8.0,2.9,2.7,0.4,0.5,2.8,5.7,1.8,6.9
119,Western Mediterranean,aggressive_trade,False,13.735749999999896,7.4,0.1,7.9,2.9,3.1,0.9,0.1,2.5,4.3,2.8,9.2
120,Western Mediterranean,aggressive_trade,False,6.3080000000009715,9.8,0.6,9.0,2.2,1.3,0.2,0.3,2.0,4.8,2.1,7.8
121,Private,aggressive_trade,False,11.35200000000107,10.6,0.3,11.2,1.4,1.0,0.4,0.2,1.6,4.0,1.7,11.7
