Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,ItalianPottery,EgyptianPottery,AegeanPottery,WMPottery,BaeticanPottery,IberianPottery,EMPottery,TarrPottery,NAPottery,AdriaticPottery,total_pottery
102,Tarraconensis,aggressive_trade,False,"4,77325","4,3","0,6","2,7","3,3","3,7",1,"0,6","3,7","4,6","3,9","6,5","34,9"
103,Tarraconensis,random_trade,False,"4,1055","1,9","1,2","1,7","1,8","1,8","0,9","1,1",2,"2,1","1,3","1,6","17,4"
104,Tarraconensis,aggressive_trade,False,"4,281","4,5","0,8","4,9","3,1",3,"0,1","0,5","2,1","6,4",3,"4,9","33,3"
105,Tarraconensis,aggressive_trade,False,"2,24375",6,"0,1","5,2","2,9","2,5","0,2","0,3","3,6","6,9",3,"5,7","36,4"
106,Tarraconensis,random_trade,False,"2,74","1,4",1,2,"1,7","2,1","0,9","1,9","1,1","1,9",1,"2,3","17,3"
107,Tarraconensis,conservative_trade,False,"3,9965","1,4","1,4",1,"1,5","0,4","1,1","1,1","1,1","1,4","0,8",1,"12,2"
108,Tarraconensis,conservative_trade,False,"3,89325","1,6","1,3","0,9","0,9",1,"1,2","1,8","0,9","0,9","0,8","1,3","12,6"
109,Tarraconensis,conservative_trade,False,"3,184",1,"0,7","1,1","0,9","1,3","1,8","0,7","0,6","1,1","1,3","1,6","12,1"
110,Private,conservative_trade,False,"1,124","1,7","1,4","1,5","0,9","1,8","1,1","1,3",1,"0,6","0,6","1,3","13,2"
111,Western Mediterranean,conservative_trade,False,"2,986","1,3",1,"0,6",1,1,"1,4","1,4","0,8",1,"1,4","1,9","12,8"
112,Western Mediterranean,random_trade,False,"3,08925","1,6","1,5","1,9","1,7","1,5","1,4","1,3",1,"1,5","2,2","1,7","17,3"
113,Western Mediterranean,aggressive_trade,False,"2,1045","6,2","0,5","5,7","2,2","2,4","0,6","0,6","2,5",5,"3,3","6,6","35,6"
114,Western Mediterranean,random_trade,False,"1,60175","1,5","1,4","2,4","1,2","1,7","1,4","1,1","1,1","1,1","1,9","2,2",17
115,Western Mediterranean,aggressive_trade,False,"4,26275","8,4","1,1","6,3","3,1","3,3","0,6","0,2","2,3","3,7","2,2","5,7","36,9"
116,Western Mediterranean,random_trade,False,"2,90825",2,"0,5","1,7","1,5","1,3","1,2",1,"1,4","2,2","2,3","2,2","17,3"
117,Western Mediterranean,aggressive_trade,False,"3,5735","4,5","0,5","5,5","4,6","3,4","0,8","0,3","3,3","7,3","3,3","4,5",38
118,Western Mediterranean,aggressive_trade,False,"5,367","8,2","0,5",8,"2,9","2,7","0,4","0,5","2,8","5,7","1,8","6,9","40,4"
119,Western Mediterranean,aggressive_trade,False,"13,73575","7,4","0,1","7,9","2,9","3,1","0,9","0,1","2,5","4,3","2,8","9,2","41,2"
120,Western Mediterranean,aggressive_trade,False,"6,308","9,8","0,6",9,"2,2","1,3","0,2","0,3",2,"4,8","2,1","7,8","40,1"
121,Private,aggressive_trade,False,"11,352","10,6","0,3","11,2","1,4",1,"0,4","0,2","1,6",4,"1,7","11,7","44,1"
