Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery,total_pottery
89,North Africa,random_trade,False,"2,3445",1,"0,9","2,3","0,8","1,4","1,8","0,6","1,2","1,7","1,6",2,"15,3"
90,North Africa,random_trade,False,"3,07025","0,8","2,7","1,8","1,1","1,3","1,3","0,9","1,2","1,7",2,"2,1","16,9"
91,North Africa,aggressive_trade,False,"3,9635","0,8","6,6","8,2","0,3","1,7","6,9","0,2","2,7","1,8",6,"2,3","37,5"
92,North Africa,conservative_trade,False,"2,9095","1,6","1,3",1,"1,7","0,9","1,6","0,9","0,4",1,1,"1,3","12,7"
93,North Africa,random_trade,False,"1,823","0,6","2,6","2,2","0,9","1,5",2,"1,3","1,7","1,3","2,6","1,3",18
94,North Africa,random_trade,False,"2,835","1,1","2,7","1,9","0,7","1,5",2,"0,6","1,3","1,5","2,7","0,8","16,8"
95,North Africa,conservative_trade,False,"2,1365","1,6","1,5",1,"1,3","0,5","0,9",1,"0,7","0,8","1,8","0,7","11,8"
96,North Africa,conservative_trade,False,"3,02375",1,"1,4","1,2","0,9","0,6","1,1","1,7","0,9",1,"0,9","1,1","11,8"
97,North Africa,random_trade,False,"2,522","0,3","1,5","1,4","1,5","1,5","1,4","1,3","2,8","1,8","1,5","1,8","16,8"
98,North Africa,random_trade,False,"2,30875","0,7","1,8","1,7","0,5","2,2","1,4","1,4","1,5","1,5","1,3",2,16
99,Private,random_trade,False,"3,4425","1,1","2,2","1,5","1,1",2,"1,7","1,5","1,7","1,3","2,9","1,5","18,5"
100,Tarraconensis,conservative_trade,False,"2,098","1,4","1,2",1,"1,1","0,9","1,2","1,7","0,6","1,3","0,9","1,1","12,4"
101,Tarraconensis,conservative_trade,False,"3,0455","1,3","1,1","1,4","0,9","1,2","1,4","1,6","1,2",1,1,"1,1","13,2"
102,Tarraconensis,random_trade,False,"2,87225","1,1","1,1","1,4","0,9","1,7","2,3","0,8","0,8","2,9",1,"1,1","15,1"
103,Tarraconensis,conservative_trade,False,"3,3955","1,4","0,8","1,5","0,8","1,4","0,7","0,6","1,4","0,7","1,2","1,5",12
104,Tarraconensis,aggressive_trade,False,"5,31225","0,4","6,4","6,6","0,7","2,5",6,"0,6","3,2","2,8","4,3","2,5",36
105,Tarraconensis,aggressive_trade,False,"1,26375","0,2","6,8","4,6","0,9","2,4","5,3","0,6","2,3","3,4","5,5","2,8","34,8"
106,Tarraconensis,aggressive_trade,False,"5,0915","0,5","6,6",6,"1,3","3,2","5,9","0,1","2,2","2,1","6,6","3,6","38,1"
107,Tarraconensis,random_trade,False,"4,42825","0,7","2,3",3,"0,3","1,6","2,2","0,5","1,6","1,9",2,"1,2","17,3"
108,Tarraconensis,random_trade,False,"2,3105","1,1","1,6","1,7","1,3","1,3","1,8","1,5","2,1","1,3","2,1","1,4","17,2"
109,Tarraconensis,random_trade,False,"1,72925","1,3","1,5","1,8","1,4","1,3","1,4","0,4","1,8","1,8","2,9","1,8","17,4"
110,Private,random_trade,False,"3,0475","0,9","2,8","2,2","0,9","1,5","2,2","0,6","1,2","2,2","2,2","1,3",18
111,Western Mediterranean,conservative_trade,False,"3,1885","1,5","1,8","1,4","1,1","1,4","1,4",1,"0,9","0,8","1,3","0,5","13,1"
112,Western Mediterranean,conservative_trade,False,"1,15275","0,9","1,8",1,"1,1",1,"0,5","1,3","0,8","1,4","1,3","1,3","12,4"
113,Western Mediterranean,aggressive_trade,False,"7,557","0,3","7,1","8,7","0,3","3,4","8,5","0,3","2,5","2,3","4,5","1,8","39,7"
114,Western Mediterranean,aggressive_trade,False,"1,7765","0,4","4,6","6,9","0,5","2,2","5,3","1,3","3,1","3,2","5,5","3,2","36,2"
115,Western Mediterranean,aggressive_trade,False,"4,4765","0,6","9,3",8,"0,8","2,2","7,9","0,3","2,4","2,9","4,9","2,5","41,8"
116,Western Mediterranean,aggressive_trade,False,"12,557","0,4","8,9","8,9","0,9","1,5","9,9","0,5","2,2","1,4","3,9","2,1","40,6"
117,Western Mediterranean,random_trade,False,"2,294","0,9","1,7","1,3","1,2","1,4","2,9","1,1","2,4","0,9","2,4","1,4","17,6"
118,Western Mediterranean,random_trade,False,"1,934","0,5","2,1","2,1","0,9","1,2","2,3","1,2",1,"1,5","2,5",2,"17,3"
119,Western Mediterranean,aggressive_trade,False,"5,21075","0,3","8,1","7,8","0,5","1,9","10,1","0,6",3,"2,3","4,1","1,7","40,4"
120,Western Mediterranean,conservative_trade,False,"1,807","1,3","0,5","0,9","1,4","1,7","1,1","1,5",1,"0,8","1,2",1,"12,4"
121,Private,conservative_trade,False,"4,77225","1,4","1,2","1,3","2,2","1,1","0,7","1,1",1,"0,7","1,3","1,5","13,5"
