Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery
81,Italy,random_trade,False,2.0784999999999485,1.1,1.4,1.3,1.3,1.1,2.0,1.6,1.6,1.3,2.0,1.4
82,Italy,random_trade,False,1.2390000000000065,1.1,1.7,1.0,1.8,1.1,1.4,1.5,1.6,1.0,1.6,1.7
83,Italy,aggressive_trade,False,2.850749999999825,0.8,4.6,3.2,3.0,0.9,2.8,4.8,1.8,1.5,4.0,4.6
84,Italy,random_trade,False,1.1862499999999914,0.7,1.9,1.7,1.5,1.6,1.4,1.0,1.0,1.2,1.8,1.8
85,Italy,conservative_trade,False,2.4375000000000306,1.5,0.9,1.1,0.8,1.2,0.8,0.6,1.6,1.3,1.2,1.3
86,Italy,conservative_trade,False,2.4765000000000033,1.7,0.7,1.7,0.7,0.9,1.4,0.7,0.6,0.8,1.0,1.6
87,Italy,aggressive_trade,False,3.4557499999998003,0.8,6.0,2.8,4.1,0.5,4.3,3.8,3.2,0.7,4.8,4.8
88,State,aggressive_trade,False,1.2499999999994773,0.4,5.0,1.4,2.0,0.2,1.9,10.3,1.9,0.1,9.2,7.3
89,North Africa,aggressive_trade,False,5.644000000000094,0.7,5.4,2.7,2.6,0.7,2.1,6.9,2.0,0.6,6.2,4.3
90,North Africa,aggressive_trade,False,1.7284999999999102,0.7,4.1,4.0,2.8,0.5,4.1,3.3,3.0,1.2,4.3,4.8
91,North Africa,aggressive_trade,False,2.3975000000001856,0.7,5.0,2.4,3.0,0.7,2.8,6.3,1.9,0.7,7.0,4.9
92,North Africa,aggressive_trade,False,4.211000000000228,0.3,5.7,3.2,2.8,0.5,2.5,7.4,2.7,0.5,6.0,6.1
93,North Africa,random_trade,False,1.5052499999999545,0.8,2.3,2.1,1.2,0.6,1.6,2.2,1.5,0.9,1.6,2.8
94,North Africa,conservative_trade,False,4.629749999999977,1.3,1.2,0.8,1.3,1.8,1.0,1.3,0.7,1.3,1.2,1.1
95,North Africa,random_trade,False,1.108999999999994,0.8,1.9,2.0,1.6,1.1,1.8,1.4,1.4,0.7,1.2,1.8
96,North Africa,aggressive_trade,False,2.7329999999999677,1.3,4.8,2.9,4.6,0.7,3.1,4.8,2.8,0.4,4.0,5.3
97,North Africa,conservative_trade,False,3.5219999999999905,1.0,1.0,1.4,0.8,1.1,1.1,0.9,1.2,1.5,1.5,0.6
98,North Africa,aggressive_trade,False,0.7624999999998722,0.5,5.7,2.8,2.8,1.0,2.5,5.7,3.5,1.0,5.8,6.4
99,State,aggressive_trade,False,1.9399999999990651,0.1,4.8,1.4,2.4,0.7,1.3,9.3,2.1,0.9,8.3,9.1
100,Tarraconensis,random_trade,False,2.2029999999999808,1.0,2.3,1.6,1.3,0.7,0.8,2.7,1.8,0.8,2.0,1.3
101,Tarraconensis,random_trade,False,2.107000000000037,0.6,1.9,1.0,1.6,0.7,2.1,3.3,1.9,1.3,1.7,2.1
102,Tarraconensis,aggressive_trade,False,4.042749999999761,0.6,6.9,3.0,3.0,1.1,3.6,5.2,2.5,0.4,6.2,6.5
103,Tarraconensis,random_trade,False,2.8427499999999775,1.8,1.9,1.7,1.1,1.1,2.3,1.8,1.5,1.2,1.4,2.1
104,Tarraconensis,aggressive_trade,False,2.5449999999996735,1.1,4.8,4.1,3.0,0.5,3.2,5.2,2.8,0.6,6.5,6.3
105,Tarraconensis,conservative_trade,False,2.6049999999999947,1.6,1.4,1.0,0.6,1.2,1.3,0.8,1.1,1.5,1.0,0.9
106,Tarraconensis,aggressive_trade,False,3.742000000000045,0.4,5.6,2.5,1.1,0.6,2.9,8.4,2.4,0.2,6.2,8.3
107,Tarraconensis,conservative_trade,False,3.6287499999999824,0.9,1.0,1.0,1.4,1.0,0.2,1.6,0.8,1.3,1.7,1.4
108,Tarraconensis,random_trade,False,2.5937500000000204,1.3,2.3,0.8,1.3,1.3,1.9,1.2,2.1,0.8,1.4,1.3
109,Tarraconensis,conservative_trade,False,1.981999999999962,1.9,1.0,0.7,1.0,1.5,1.1,1.0,0.4,1.4,1.5,1.0
110,State,conservative_trade,False,1.0800000000000314,1.6,1.3,1.1,0.7,1.2,0.9,0.9,1.2,1.4,1.7,1.6
