Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery
37,Eastern Mediterranean,aggressive_trade,True,1814.8333333333333,9.333333333333334,6.0,10.5,10.5,11.333333333333334,8.833333333333334,5.5,9.833333333333334,9.666666666666666,8.0,7.166666666666667
38,Eastern Mediterranean,aggressive_trade,False,0.0,7.6,5.4,7.8,6.6,8.2,9.0,5.2,8.2,6.8,6.2,7.2
38,Eastern Mediterranean,aggressive_trade,True,1762.8,10.0,8.8,8.2,9.8,8.8,8.8,10.8,7.2,8.2,6.6,10.4
39,Eastern Mediterranean,random_trade,False,0.0,3.4,2.6,4.1,3.3,3.1,3.3,3.6,2.5,2.5,2.7,2.9
40,Eastern Mediterranean,aggressive_trade,False,0.0,6.333333333333333,5.166666666666667,8.166666666666666,7.333333333333333,7.166666666666667,6.5,8.5,6.5,7.0,8.0,8.666666666666666
40,Eastern Mediterranean,aggressive_trade,True,2164.5,8.75,6.0,9.25,10.75,8.0,9.5,8.5,9.0,8.25,12.25,8.75
41,Egypt,aggressive_trade,False,0.0,7.2,7.2,6.2,8.0,5.4,8.4,6.8,7.8,6.6,10.2,9.4
41,Egypt,aggressive_trade,True,2812.4,10.2,7.4,8.8,9.6,8.2,10.6,9.8,8.0,10.0,7.2,8.4
42,Egypt,random_trade,False,0.0,3.4,2.6,2.5,2.8,2.1,3.3,2.9,2.9,3.3,1.9,2.8
43,Egypt,conservative_trade,False,0.0,1.0,2.1,2.3,1.7,1.6,1.9,1.1,1.3,1.4,1.5,1.3
44,Egypt,conservative_trade,False,0.0,0.9,1.4,1.6,1.9,2.0,2.0,1.7,1.1,1.2,1.4,1.7
45,Egypt,random_trade,False,0.0,4.3,2.3,2.6,3.1,2.9,3.1,2.5,2.1,3.3,3.0,4.2
46,Egypt,random_trade,False,0.0,2.5,2.3,3.6,3.4,2.9,2.9,3.2,2.2,2.6,3.0,2.5
47,Egypt,conservative_trade,False,0.0,1.0,1.9,1.7,1.2,1.0,1.7,2.0,1.6,2.1,1.7,1.6
48,Egypt,aggressive_trade,False,0.0,7.75,8.25,9.0,6.25,7.5,9.75,6.75,9.25,6.5,7.5,8.25
48,Egypt,aggressive_trade,True,3149.1666666666665,10.5,7.5,9.0,9.166666666666666,5.5,12.333333333333334,8.833333333333334,8.333333333333334,9.166666666666666,7.0,10.833333333333334
49,Egypt,conservative_trade,False,0.0,1.5,1.8,2.0,2.4,1.8,1.8,1.0,0.8,1.3,1.2,2.2
50,Egypt,conservative_trade,False,0.0,1.9,2.2,1.1,0.8,1.9,0.9,1.4,2.2,2.2,1.4,1.5
51,Gallia,aggressive_trade,False,0.0,7.0,12.0,7.0,3.0,7.0,3.0,8.0,2.0,6.0,6.0,10.0
51,Gallia,aggressive_trade,True,3120.4444444444443,10.444444444444445,8.666666666666666,10.777777777777779,11.333333333333334,8.555555555555555,7.777777777777778,7.888888888888889,9.777777777777779,8.777777777777779,8.333333333333334,7.888888888888889
52,Gallia,aggressive_trade,False,0.0,7.5,7.0,7.25,9.75,7.0,7.25,8.5,6.25,8.0,9.0,7.25
52,Gallia,aggressive_trade,True,3576.8333333333335,9.0,10.166666666666666,9.5,7.666666666666667,9.333333333333334,6.5,7.666666666666667,10.333333333333334,7.5,9.0,9.833333333333334
53,Gallia,aggressive_trade,False,0.0,16.0,12.0,9.0,10.0,5.0,9.0,7.0,2.0,4.0,7.0,5.0
53,Gallia,aggressive_trade,True,2607.777777777778,7.888888888888889,9.444444444444445,8.11111111111111,11.444444444444445,8.555555555555555,10.444444444444445,8.444444444444445,7.444444444444445,9.777777777777779,8.88888888888889,8.444444444444445
