Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery,total_wealth
50,Egypt,conservative_trade,False,0,"1,9","2,2","1,1","0,8","1,9","0,9","1,4","2,2","2,2","1,4","1,5","17,5"
51,Gallia,aggressive_trade,False,0,7,12,7,3,7,3,8,2,6,6,10,71
51,Gallia,aggressive_trade,True,"3120,4444444445","10,4444444444","8,6666666667","10,7777777778","11,3333333333","8,5555555556","7,7777777778","7,8888888889","9,7777777778","8,7777777778","8,3333333333","7,8888888889","100,2222222222"
52,Gallia,aggressive_trade,False,0,"7,5",7,"7,25","9,75",7,"7,25","8,5","6,25",8,9,"7,25","84,75"
52,Gallia,aggressive_trade,True,"3576,8333333333",9,"10,1666666667","9,5","7,6666666667","9,3333333333","6,5","7,6666666667","10,3333333333","7,5",9,"9,8333333333","96,5"
53,Gallia,aggressive_trade,False,0,16,12,9,10,5,9,7,2,4,7,5,86
53,Gallia,aggressive_trade,True,"2607,7777777778","7,8888888889","9,4444444444","8,1111111111","11,4444444444","8,5555555556","10,4444444444","8,4444444444","7,4444444444","9,7777777778","8,8888888889","8,4444444444","98,8888888889"
54,Gallia,random_trade,False,0,"2,9",3,3,"4,1","3,2","2,2","3,6","2,5","3,5","2,4","2,9","33,3"
55,Gallia,conservative_trade,False,0,"2,2","1,6","1,5","1,4","1,3","1,8","1,3","1,6","1,5",2,"1,8",18
56,Gallia,random_trade,False,0,"3,5","3,3","3,1","1,8","3,8","2,4","2,1","3,2","2,6","3,7","2,8","32,3"
57,Gallia,random_trade,False,0,"2,5","2,2","3,3","3,3","2,3","2,9","1,9","3,8",3,"3,5","2,4","31,1"
58,Gallia,random_trade,False,0,"2,4","3,2","2,2","3,3","3,4","3,2","3,5","2,8","3,3",3,"2,9","33,2"
59,Gallia,conservative_trade,False,0,"1,6","1,3","1,5","1,1","1,8","1,5","1,4",1,"2,1",2,"1,9","17,2"
60,Gallia,random_trade,False,0,"3,6","2,5",2,"2,1","3,5","2,7","2,7","3,2",3,"2,8","2,9",31
61,Italy,conservative_trade,False,0,"2,2","0,7","1,6","1,7","1,4","2,2","1,8","1,2","2,2","1,8","1,2",18
62,Italy,random_trade,False,0,"2,6",3,"2,4","2,9","3,6","3,5","3,4","2,6","3,1","3,3","3,4","33,8"
63,Italy,random_trade,False,0,"4,6",4,"2,2","1,5","2,4","3,9",3,"2,9","2,7","1,3","2,7","31,2"
64,Italy,conservative_trade,False,0,"2,2","1,9","1,5","1,2","1,2","1,3","1,1","1,6","1,6","1,5","1,9",17
65,Italy,conservative_trade,False,0,"1,9","1,8","1,4","1,5","1,3","1,5","1,4","1,8","1,2","1,8","1,9","17,5"
66,Italy,random_trade,False,0,"3,9","2,3","3,3","3,1","3,8","2,5",2,"3,7","4,6","2,6","2,8","34,6"
67,Italy,aggressive_trade,False,0,9,6,7,7,9,5,9,11,6,2,10,81
67,Italy,aggressive_trade,True,"2217,2222222222","11,1111111111","8,1111111111","9,1111111111","10,3333333333",8,"8,8888888889","8,4444444444","9,5555555556","8,1111111111","7,2222222222","10,2222222222","99,1111111111"
68,Italy,conservative_trade,False,0,"2,2","1,3","1,2","2,6","1,7",2,"1,4","1,5",1,2,"0,9","17,8"
69,Italy,conservative_trade,False,0,"0,7","1,2","1,1","1,5","2,6",1,"1,9","1,5","1,4","1,9","1,8","16,6"
70,Italy,random_trade,False,0,"2,5","3,4","3,2","2,8","3,8","2,7","2,6","3,6","2,7","3,3",3,"33,6"
71,Iberian Peninsula,random_trade,False,0,"3,1","2,3","2,8","1,8","3,1",3,"3,3","3,4","3,5","3,3","2,3","31,9"
72,Iberian Peninsula,conservative_trade,False,0,"0,8","2,2","0,9","1,5","1,9","1,8","1,6","1,3","1,6","1,7","1,4","16,7"
73,Iberian Peninsula,aggressive_trade,False,0,"7,2857142857","8,4285714286",7,8,"5,7142857143","9,2857142857","5,1428571429","7,8571428571","7,5714285714","9,5714285714","5,7142857143","81,5714285714"
73,Iberian Peninsula,aggressive_trade,True,3259,5,"7,3333333333","10,3333333333",10,"9,3333333333","10,6666666667","8,6666666667","9,6666666667","12,6666666667","6,3333333333",9,99
74,Iberian Peninsula,random_trade,False,0,"3,3","3,1","2,1","3,6","2,2","3,7","3,8","2,9","3,1","1,8","3,4",33
75,Iberian Peninsula,random_trade,False,0,"3,4","2,7","3,2","2,8","2,7","1,8","3,7","2,5","2,6","1,9","2,9","30,2"
76,Iberian Peninsula,aggressive_trade,False,0,8,4,7,7,7,10,9,11,8,10,10,91
76,Iberian Peninsula,aggressive_trade,True,"2867,2222222222","7,3333333333","10,5555555556","10,6666666667","9,2222222222","8,7777777778","7,7777777778","9,7777777778","9,5555555556","8,5555555556","9,3333333333","8,5555555556","100,1111111111"
77,Iberian Peninsula,random_trade,False,0,"2,6","3,8",3,"3,3","2,6","3,8","2,7","2,9","3,3","2,6","3,6","34,2"
78,Iberian Peninsula,random_trade,False,0,"2,5","2,1","2,1","4,1","2,7","2,3","2,7","3,3","3,3","4,2","3,3","32,6"
79,Iberian Peninsula,aggressive_trade,False,0,7,"10,6666666667","8,6666666667","9,3333333333","5,6666666667",7,9,8,"7,6666666667","7,3333333333","6,6666666667",87
79,Iberian Peninsula,aggressive_trade,True,"2224,4285714286","8,7142857143","7,8571428571","7,1428571429","9,5714285714","10,5714285714","11,2857142857","9,1428571429",11,9,"7,1428571429",9,"100,4285714286"
80,Iberian Peninsula,random_trade,False,0,"2,2",3,"2,6","2,3","3,1",3,"3,6","3,6","3,4","2,8","4,1","33,7"
81,North Africa,aggressive_trade,False,0,"10,25",8,"6,75","10,25",6,"6,25","7,75","6,75","8,75","5,75","8,75","85,25"
81,North Africa,aggressive_trade,True,2529,"8,5",8,10,"8,5","9,3333333333","6,5","7,8333333333","9,3333333333","9,8333333333","10,1666666667",10,98
82,North Africa,conservative_trade,False,0,"1,7","1,3",2,"1,9","1,2","1,6","1,3","1,5","1,2","2,4",1,"17,1"
83,North Africa,random_trade,False,0,"3,6","3,8","2,4","3,2","1,9","3,3","3,9","3,4","2,4","3,6","2,1","33,6"
84,North Africa,conservative_trade,False,0,"1,2","1,3","1,8","1,7","1,6","1,8","1,6","1,3","1,9","1,4","1,8","17,4"
85,North Africa,conservative_trade,False,0,"1,1","2,2",1,"1,5","0,8","1,4","1,6","1,5","1,8","2,3","1,6","16,8"
86,North Africa,conservative_trade,False,0,"1,9","1,7","2,5","1,6","1,5","1,4","1,6","1,6","1,9","1,6","1,3","18,6"
87,North Africa,random_trade,False,0,"2,8","4,3","2,3","2,1",3,"3,6","2,5","3,8","2,9","2,6","2,5","32,4"
88,North Africa,aggressive_trade,False,0,14,10,3,6,2,14,13,7,12,4,9,94
88,North Africa,aggressive_trade,True,2897,"9,4444444444","9,8888888889","8,8888888889","7,8888888889","8,7777777778","8,2222222222","10,4444444444","8,4444444444","9,2222222222","8,8888888889",8,"98,1111111111"
89,North Africa,aggressive_trade,False,0,7,"8,2",5,"8,2","9,4","8,6","7,2","9,4","7,6","8,8",8,"87,4"
89,North Africa,aggressive_trade,True,3987,"7,8","8,2","8,2","8,4","9,8","9,2","9,2","9,8","9,8","7,4","9,6","97,4"
90,North Africa,aggressive_trade,False,0,10,8,"9,5","8,25",7,7,6,"7,75","7,25","5,75",7,"83,5"
90,North Africa,aggressive_trade,True,"2704,5","7,1666666667","7,8333333333","10,5","7,1666666667","7,5","9,8333333333","9,5",9,"9,8333333333","8,1666666667","10,5",97
91,Tarraconensis,conservative_trade,False,0,"1,1","2,1","1,6","2,1",2,"1,3","1,2","1,3",2,1,"1,8","17,5"
92,Tarraconensis,aggressive_trade,False,0,"11,5","6,5",6,7,5,"7,5",9,7,5,"11,5","8,5","84,5"
92,Tarraconensis,aggressive_trade,True,3391,"7,75","9,25","6,875","8,875","9,25","8,875","9,25","9,625","10,625","9,5",9,"98,875"
93,Tarraconensis,conservative_trade,False,0,"2,1","1,6","2,1","1,9","1,2","1,7","1,1","1,7","1,7","1,2","1,5","17,8"
94,Tarraconensis,conservative_trade,False,0,"1,7","2,1",2,"2,4","1,1","1,6","1,8","1,7","1,5","0,9","1,3","18,1"
95,Tarraconensis,random_trade,False,0,"2,7",3,"2,7","2,3","2,6","2,7","3,4","2,8",4,"2,9","2,1","31,2"
96,Tarraconensis,conservative_trade,False,0,"1,9","1,9","2,3","1,7","1,9","1,1","1,6","1,8","0,7","0,6","1,7","17,2"
97,Tarraconensis,conservative_trade,False,0,"1,7","1,3","1,8","1,5","1,3","1,4","1,5","1,5","1,7","1,9","1,5","17,1"
98,Tarraconensis,random_trade,False,0,"2,9",3,3,"2,9","3,7","3,3","2,4","3,2",2,"3,8","2,9","33,1"
99,Tarraconensis,conservative_trade,False,0,"2,2",2,"1,7","1,9","0,5","1,3","1,7",2,"1,5","1,5","1,5","17,8"
100,Tarraconensis,conservative_trade,False,0,"1,3",2,"1,9",2,"1,3","1,6","1,3","1,4","1,6","1,7","1,2","17,3"
101,Western Mediterranean,random_trade,False,0,"2,7","3,1",3,"2,4","3,5","2,6","3,5","2,9","2,8","3,3","2,6","32,4"
102,Western Mediterranean,aggressive_trade,False,0,"9,3333333333","7,6666666667","7,3333333333","7,6666666667","12,3333333333","10,6666666667","6,3333333333","6,6666666667","4,6666666667","6,6666666667",12,"91,3333333333"
102,Western Mediterranean,aggressive_trade,True,"2587,2857142857","11,1428571429","8,2857142857",8,"8,1428571429","9,2857142857",9,"12,1428571429","8,4285714286","7,7142857143","8,5714285714","6,8571428571","97,5714285714"
103,Western Mediterranean,aggressive_trade,False,0,"4,3333333333",8,"10,6666666667",7,10,"6,6666666667","7,6666666667",4,"12,3333333333","8,3333333333","5,6666666667","84,6666666667"
103,Western Mediterranean,aggressive_trade,True,"2937,1428571429",7,"9,7142857143","10,1428571429","9,7142857143","9,8571428571","8,7142857143","8,2857142857","6,1428571429","11,2857142857","9,8571428571",7,"97,7142857143"
104,Western Mediterranean,random_trade,False,0,"3,7","3,7",3,"2,3","2,8","2,8","3,6",2,"3,3","3,4","2,6","33,2"
105,Western Mediterranean,conservative_trade,False,0,"1,2","1,3","2,1","1,7","1,4","2,4","1,2","1,2","1,4","0,9","2,5","17,3"
106,Western Mediterranean,random_trade,False,0,"2,8","2,8","2,9","1,9","2,1","2,5","2,2","3,5","2,5","3,2",3,"29,4"
107,Western Mediterranean,conservative_trade,False,0,"0,8","1,5","1,7","1,5","2,2","1,6","1,2","1,6","1,4","1,5","1,7","16,7"
108,Western Mediterranean,conservative_trade,False,0,"2,2","1,3","1,7","1,8","1,4","1,6","1,8","1,2","2,5","0,5","1,3","17,3"
109,Western Mediterranean,conservative_trade,False,0,"1,2","1,8","2,1","1,5","1,4","1,5","0,9","2,3","2,1","1,5","1,2","17,5"
110,Western Mediterranean,conservative_trade,False,0,"1,8","1,2","1,8","1,3","0,8","1,8","1,4",2,"1,9","1,6","1,6","17,2"
