Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery,total_pottery
79,Iberian Peninsula,conservative_trade,False,0,"1,8","0,9","1,4","1,6","1,1",1,"0,8",1,"0,6","1,6","1,1","12,9"
80,Iberian Peninsula,aggressive_trade,False,0,"6,5","7,5","10,1","4,9","4,2","1,3","4,5","0,9",6,6,"1,6","53,5"
81,North Africa,aggressive_trade,False,0,"5,25","7,5","13,25","7,75","7,25","0,5",13,"0,75","7,75","5,75","1,75","70,5"
81,North Africa,aggressive_trade,True,"4844,1666666667","11,8333333333","8,8333333333","13,5","12,8333333333","7,8333333333","0,8333333333","10,1666666667","0,6666666667","8,3333333333","11,1666666667",0,86
82,North Africa,conservative_trade,False,0,"1,1","0,9","1,8","1,1","0,8","1,3","1,5","1,4","0,7","1,2","1,3","13,1"
83,North Africa,random_trade,False,0,"1,8","1,9","2,4","1,7",2,"0,4","1,5","1,5","1,7","1,7","0,9","17,5"
84,North Africa,conservative_trade,False,0,"1,6","1,3","1,1","1,7","0,9","0,7","1,4","1,2","1,4","1,1","0,5","12,9"
85,North Africa,random_trade,False,0,"1,7","2,1","1,7","1,3","1,1","0,9","2,4","0,8","2,4","1,8","1,2","17,4"
86,North Africa,conservative_trade,False,0,"0,9","0,6",1,"1,6",1,"1,3","1,5","0,8","0,9",2,"1,2","12,8"
87,North Africa,conservative_trade,False,0,"0,5","1,5","1,2","1,1","0,7","2,2","1,3","0,6","1,1","1,3","0,8","12,3"
88,North Africa,conservative_trade,False,0,"1,9","1,7",1,"1,3","1,1","0,8","1,7","0,6",1,"0,6","0,9","12,6"
89,North Africa,conservative_trade,False,0,"1,6","1,2",1,"1,3","1,4","0,5","1,2","0,8",1,"1,8",1,"12,8"
90,North Africa,conservative_trade,False,0,"0,7","0,7","1,3",1,"0,8","1,4",1,"1,2","1,5",2,"1,2","12,8"
91,Tarraconensis,random_trade,False,0,"2,3","2,1","2,9","2,1","2,3","0,9","1,9","1,3","1,6","1,6","0,9","19,9"
92,Tarraconensis,random_trade,False,0,"2,1","2,3","2,2","1,5","2,1","1,2","1,6","0,9","2,4","1,5",1,"18,8"
93,Tarraconensis,conservative_trade,False,0,1,1,"1,5","0,9",1,"0,9",1,1,"1,1","1,8","1,3","12,5"
94,Tarraconensis,aggressive_trade,False,0,"4,1666666667","9,3333333333","7,1666666667",4,"7,6666666667","1,6666666667","7,1666666667","1,5","5,5","4,1666666667","1,5","53,8333333333"
94,Tarraconensis,aggressive_trade,True,"4859,75","17,75",5,6,17,8,"0,25","6,25","1,25",7,18,"0,75","87,25"
95,Tarraconensis,aggressive_trade,False,0,"4,875","4,375","9,625","6,5","6,375",1,"5,25",1,6,"8,125","1,125","54,25"
95,Tarraconensis,aggressive_trade,True,5355,10,12,15,"13,5",7,"0,5","6,5",0,6,9,1,"80,5"
96,Tarraconensis,conservative_trade,False,0,"1,5","1,2","1,3","1,4","1,9",1,"0,5","1,2","0,8","1,3","1,4","13,5"
97,Tarraconensis,conservative_trade,False,0,"0,9","1,5","1,3","0,7","0,8","0,9","1,4","1,1","1,2","1,6","1,2","12,6"
98,Tarraconensis,aggressive_trade,False,0,"6,6666666667","7,5",14,"6,6666666667","6,3333333333","0,6666666667",7,"1,1666666667","5,8333333333","7,5","0,8333333333","64,1666666667"
98,Tarraconensis,aggressive_trade,True,"3337,5",20,"4,25","11,75","16,5",3,"0,25","4,5",0,"3,5","18,75","0,75","83,25"
99,Tarraconensis,conservative_trade,False,0,"1,2","1,2","1,6","1,4","1,1","1,2",1,"0,9","1,7","0,8","1,3","13,4"
100,Tarraconensis,aggressive_trade,False,0,"4,875","7,625","8,125",5,"6,375","1,875","7,5","0,875","6,125","6,125","1,625","56,125"
100,Tarraconensis,aggressive_trade,True,6168,16,5,10,"17,5",6,0,5,0,4,"18,5","0,5","82,5"
101,Western Mediterranean,aggressive_trade,False,0,"5,1666666667",6,7,6,"5,8333333333","1,1666666667","5,5","0,5","5,6666666667","5,3333333333","1,3333333333","49,5"
101,Western Mediterranean,aggressive_trade,True,"12132,75","17,25","4,75","12,75",16,"7,5",0,"6,25",1,"5,25",15,0,"85,75"
102,Western Mediterranean,random_trade,False,0,2,2,"2,7","1,8","1,8",1,"1,7",1,"1,1","1,6","1,3",18
103,Western Mediterranean,conservative_trade,False,0,"0,8","0,8",1,"1,7","1,4","1,6","1,5","0,9","1,2","1,3",1,"13,2"
104,Western Mediterranean,conservative_trade,False,0,"1,5","0,7","1,4","1,7","0,9",1,"1,2","1,2","1,4","1,1","1,3","13,4"
105,Western Mediterranean,conservative_trade,False,0,1,"1,5",1,"1,5","0,8","1,2","0,9","1,9","0,8","1,3","0,8","12,7"
106,Western Mediterranean,aggressive_trade,False,0,6,"6,5",11,"2,1666666667","7,1666666667","1,8333333333","7,1666666667","0,8333333333","7,3333333333",4,"0,6666666667","54,6666666667"
106,Western Mediterranean,aggressive_trade,True,"4153,25","11,75","4,25",14,16,"5,75","0,25","5,25","0,25","7,25",15,"0,25",80
107,Western Mediterranean,conservative_trade,False,0,"1,6","1,2","1,5","1,6",1,"0,6","0,9","1,4","1,4","1,1","0,9","13,2"
108,Western Mediterranean,random_trade,False,0,"3,3","2,4","2,2","2,1","1,7","0,8","2,1","0,9","1,9",2,"0,6",20
109,Western Mediterranean,aggressive_trade,False,0,"3,5","8,5","6,875","4,75","5,125","1,5","6,5","2,375","5,875","4,125","1,125","50,25"
109,Western Mediterranean,aggressive_trade,True,1549,23,2,12,"16,5",1,0,3,0,2,"19,5",0,79
110,Western Mediterranean,random_trade,False,0,"1,9","1,7","2,4","2,2","1,9","0,8","2,2","1,2","2,8","1,9","0,7","19,7"
