Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery
76,Iberian Peninsula,aggressive_trade,False,0.0,6.428571428571429,5.857142857142857,8.714285714285714,6.714285714285714,5.428571428571429,0.5714285714285714,6.571428571428571,0.5714285714285714,6.714285714285714,7.285714285714286,1.4285714285714286
76,Iberian Peninsula,aggressive_trade,True,6416.0,17.0,5.0,10.333333333333334,20.333333333333332,3.3333333333333335,1.6666666666666667,3.3333333333333335,1.3333333333333333,7.0,17.333333333333332,0.3333333333333333
77,Iberian Peninsula,aggressive_trade,False,0.0,6.5,6.5,9.375,5.25,8.875,0.625,7.25,0.875,6.75,6.875,1.375
77,Iberian Peninsula,aggressive_trade,True,6617.0,10.5,11.0,20.0,8.5,9.5,0.0,10.5,0.5,5.5,10.5,0.0
78,Iberian Peninsula,random_trade,False,0.0,2.0,1.5,3.2,2.6,2.4,0.6,2.2,0.5,1.6,2.4,1.1
79,Iberian Peninsula,conservative_trade,False,0.0,1.8,0.9,1.4,1.6,1.1,1.0,0.8,1.0,0.6,1.6,1.1
80,Iberian Peninsula,aggressive_trade,False,0.0,6.5,7.5,10.1,4.9,4.2,1.3,4.5,0.9,6.0,6.0,1.6
81,North Africa,aggressive_trade,False,0.0,5.25,7.5,13.25,7.75,7.25,0.5,13.0,0.75,7.75,5.75,1.75
81,North Africa,aggressive_trade,True,4844.166666666667,11.833333333333334,8.833333333333334,13.5,12.833333333333334,7.833333333333333,0.8333333333333334,10.166666666666666,0.6666666666666666,8.333333333333334,11.166666666666666,0.0
82,North Africa,conservative_trade,False,0.0,1.1,0.9,1.8,1.1,0.8,1.3,1.5,1.4,0.7,1.2,1.3
83,North Africa,random_trade,False,0.0,1.8,1.9,2.4,1.7,2.0,0.4,1.5,1.5,1.7,1.7,0.9
84,North Africa,conservative_trade,False,0.0,1.6,1.3,1.1,1.7,0.9,0.7,1.4,1.2,1.4,1.1,0.5
85,North Africa,random_trade,False,0.0,1.7,2.1,1.7,1.3,1.1,0.9,2.4,0.8,2.4,1.8,1.2
86,North Africa,conservative_trade,False,0.0,0.9,0.6,1.0,1.6,1.0,1.3,1.5,0.8,0.9,2.0,1.2
87,North Africa,conservative_trade,False,0.0,0.5,1.5,1.2,1.1,0.7,2.2,1.3,0.6,1.1,1.3,0.8
88,North Africa,conservative_trade,False,0.0,1.9,1.7,1.0,1.3,1.1,0.8,1.7,0.6,1.0,0.6,0.9
89,North Africa,conservative_trade,False,0.0,1.6,1.2,1.0,1.3,1.4,0.5,1.2,0.8,1.0,1.8,1.0
90,North Africa,conservative_trade,False,0.0,0.7,0.7,1.3,1.0,0.8,1.4,1.0,1.2,1.5,2.0,1.2
