Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,EgyptianPottery,TarrPottery,GallicPottery,ItalianPottery,AegeanPottery,WMPottery,AdriaticPottery,NAPottery,IberianPottery,EMPottery
76,Italy,conservative_trade,False,1.2049999999999557,0.9,1.3,0.9,2.2,2.1,0.8,1.3,1.6,1.5,1.1,1.2
77,Italy,aggressive_trade,False,8.954749999999828,3.6,2.9,3.3,2.7,3.8,5.1,2.4,2.7,3.5,3.6,3.2
78,Italy,aggressive_trade,False,3.0057500000000044,2.7,4.0,3.4,3.4,2.6,3.4,3.3,2.3,3.5,4.5,3.9
79,Italy,conservative_trade,False,3.60475,1.1,1.5,0.7,1.4,0.6,1.5,1.8,1.4,1.5,1.9,1.2
80,Italy,random_trade,False,2.0864999999999925,2.1,2.4,1.3,1.5,2.1,2.0,2.1,2.9,2.4,0.8,1.7
81,North Africa,conservative_trade,False,3.041999999999997,0.9,1.5,2.1,1.2,0.6,1.4,0.7,1.4,1.7,1.8,1.0
82,North Africa,aggressive_trade,False,11.720749999999907,2.4,2.9,3.4,3.7,3.2,4.2,3.4,3.2,2.3,3.1,3.2
83,North Africa,random_trade,False,3.9810000000000074,1.8,2.1,1.1,1.4,2.2,1.2,2.3,2.0,2.8,1.7,2.2
84,North Africa,random_trade,False,3.423499999999911,1.1,2.0,2.2,2.9,1.9,1.4,2.4,2.1,1.4,2.0,1.3
85,North Africa,aggressive_trade,False,5.615749999999828,4.2,4.7,3.5,2.7,2.4,3.2,3.0,3.5,4.0,3.0,4.2
86,North Africa,conservative_trade,False,1.2507499999999223,0.9,1.1,1.6,0.9,1.6,0.9,1.2,1.4,2.1,1.3,1.0
87,North Africa,random_trade,False,1.585250000000021,2.0,2.5,1.7,1.5,2.1,1.8,2.2,1.3,2.2,2.7,2.1
88,North Africa,aggressive_trade,False,3.675500000000045,3.6,3.2,3.7,3.6,4.1,3.9,3.2,2.7,3.4,4.3,2.4
89,North Africa,conservative_trade,False,1.879249999999941,1.5,1.8,1.4,1.5,1.8,1.3,1.6,1.3,0.9,1.2,1.1
90,North Africa,random_trade,False,2.597500000000037,1.8,1.6,1.4,2.8,2.1,1.1,1.8,2.0,2.3,1.9,2.0
91,Tarraconensis,aggressive_trade,False,5.146750000000021,4.1,3.4,1.5,2.3,3.5,3.8,3.2,2.8,2.4,3.9,2.3
92,Tarraconensis,aggressive_trade,False,4.728000000000009,3.6,3.6,2.4,2.7,2.9,3.6,3.2,3.1,2.9,3.8,3.4
93,Tarraconensis,aggressive_trade,False,3.397999999999943,3.3,3.0,2.6,3.6,4.1,3.4,3.2,2.5,2.8,4.1,3.4
94,Tarraconensis,conservative_trade,False,2.273750000000007,1.0,1.1,1.3,1.0,1.8,2.1,1.1,1.2,1.1,1.5,1.3
95,Tarraconensis,random_trade,False,4.418499999999892,2.8,1.5,2.1,1.2,2.0,2.2,1.1,1.1,2.1,1.7,2.2
96,Tarraconensis,aggressive_trade,False,7.48924999999993,2.4,3.1,4.7,4.8,2.6,3.4,4.0,3.7,3.6,3.1,3.3
97,Tarraconensis,random_trade,False,1.9262499999999385,1.9,1.4,1.5,1.9,2.3,1.1,2.2,1.6,1.6,2.0,2.3
98,Tarraconensis,aggressive_trade,False,8.138000000000037,3.5,3.3,2.6,3.9,3.8,3.7,4.8,3.3,3.1,2.8,4.4
99,Tarraconensis,aggressive_trade,False,8.921249999999933,3.6,2.5,4.1,4.2,3.2,3.7,3.5,3.3,3.8,4.8,2.7
100,Tarraconensis,aggressive_trade,False,7.945999999999944,2.5,4.8,3.1,3.3,5.2,3.4,3.7,3.9,3.4,3.3,3.9
101,Western Mediterranean,random_trade,False,3.7737499999999544,1.8,1.6,2.2,1.8,1.5,1.2,1.7,2.7,2.6,1.6,2.0
102,Western Mediterranean,conservative_trade,False,1.5765000000000529,1.0,1.2,1.7,2.4,0.5,1.5,1.1,1.0,1.1,1.0,1.2
103,Western Mediterranean,aggressive_trade,False,4.32849999999987,2.6,3.6,4.5,2.8,4.0,4.0,2.8,4.1,3.0,4.0,3.8
104,Western Mediterranean,aggressive_trade,False,13.0314999999999,4.7,3.9,3.9,2.7,3.9,3.1,3.3,3.5,4.1,4.1,3.6
105,Western Mediterranean,aggressive_trade,False,4.024500000000003,3.8,2.9,3.9,3.3,2.7,3.1,4.0,4.3,4.1,4.7,3.9
106,Western Mediterranean,random_trade,False,4.842500000000025,2.2,3.0,1.3,1.3,2.3,1.2,2.1,1.5,1.8,1.8,2.8
107,Western Mediterranean,aggressive_trade,False,6.985750000000071,4.2,3.6,3.6,4.7,3.4,3.8,3.2,3.1,3.4,3.9,4.3
108,Western Mediterranean,random_trade,False,3.0277500000000055,3.3,1.6,1.4,1.9,2.8,1.9,1.9,2.5,2.1,1.3,1.6
109,Western Mediterranean,random_trade,False,4.335749999999889,2.2,2.8,2.4,2.8,1.3,2.4,1.5,1.8,2.2,2.8,2.4
110,Western Mediterranean,random_trade,False,2.7957500000000493,2.1,2.4,1.5,2.4,1.7,1.8,2.7,1.8,2.1,1.7,1.4
