Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery
96,Tarraconensis,random_trade,False,2.3100000000000933,2.7,3.1,2.7,2.7,2.4,3.4,2.4,1.9,1.9,2.2,2.0
97,Tarraconensis,random_trade,False,2.2900000000001066,2.1,1.7,2.3,2.3,2.4,2.4,2.0,2.1,2.8,2.4,3.6
98,Tarraconensis,aggressive_trade,False,2.460000000000139,2.9,2.6,2.5,2.7,3.2,2.8,3.1,3.3,2.8,3.7,2.7
99,Tarraconensis,random_trade,False,1.939999999999954,2.2,3.4,2.3,2.0,1.9,3.6,2.4,1.7,2.4,1.8,1.6
100,Tarraconensis,random_trade,False,3.790000000000064,2.5,2.8,2.6,1.9,3.2,2.5,3.3,1.9,2.8,2.5,2.3
101,Western Mediterranean,aggressive_trade,False,1.7600000000001246,3.6,4.2,2.7,2.9,3.0,3.5,3.9,3.7,2.5,2.5,3.2
102,Western Mediterranean,aggressive_trade,False,3.420000000000176,3.2,3.8,2.5,3.5,3.0,3.2,2.6,2.2,3.3,4.3,2.7
103,Western Mediterranean,random_trade,False,1.3000000000001108,3.3,3.0,2.6,2.6,3.2,2.2,2.0,2.0,2.4,2.5,2.9
104,Western Mediterranean,aggressive_trade,False,2.980000000000021,3.3,2.9,3.3,2.8,2.6,3.1,4.2,2.7,2.6,2.4,4.1
105,Western Mediterranean,aggressive_trade,False,3.630000000000087,3.1,2.3,3.6,3.1,3.0,4.0,2.6,3.8,3.4,2.7,3.6
106,Western Mediterranean,random_trade,False,2.580000000000083,3.1,2.2,2.5,3.3,1.5,2.3,3.2,2.4,1.9,2.2,2.1
107,Western Mediterranean,aggressive_trade,False,2.1999999999999975,3.8,3.0,3.5,3.8,2.4,3.0,2.6,3.7,3.2,3.1,2.5
108,Western Mediterranean,aggressive_trade,False,3.2000000000000477,2.5,2.7,2.7,4.4,2.5,2.4,2.9,3.5,4.3,2.8,2.9
109,Western Mediterranean,conservative_trade,False,1.870000000000046,1.8,2.3,1.8,2.3,2.0,1.3,1.8,1.5,2.4,2.6,1.7
110,Western Mediterranean,conservative_trade,False,2.7700000000001657,1.9,1.5,2.3,1.5,1.5,2.7,2.8,1.0,1.8,1.9,1.1
