Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery,total_pottery
43,Egypt,conservative_trade,False,"1,83","0,9","1,2","1,7","1,6","2,3","1,5",2,1,"2,1","1,7","1,9","17,9"
44,Egypt,random_trade,False,"2,96","2,9","2,4","1,6","2,1","2,6","2,8","2,6","1,4","2,4","1,2","1,5","23,5"
45,Egypt,aggressive_trade,False,"4,06","2,4","3,4","2,4","1,9",2,2,"2,8","2,9","3,1","1,9","3,5","28,3"
46,Egypt,random_trade,False,"3,67",2,"2,2","1,8","2,4","2,2","2,2",2,"2,4","2,3",2,"2,8","24,3"
47,Egypt,conservative_trade,False,"1,51","2,3","1,4","2,4","1,1","1,6",1,"1,6","2,1","2,1","1,6",1,"18,2"
48,Egypt,random_trade,False,"2,48","2,1","1,9","2,1","2,7","2,4","2,4","2,9","2,4","1,6","1,4","2,1",24
49,Egypt,random_trade,False,"2,72","1,5","2,2","1,8","2,5","1,7","2,5","3,1","2,5","1,5","2,3","3,1","24,7"
50,Egypt,conservative_trade,False,2,"1,5",1,"1,3","2,2","1,7","1,7",2,"1,3","1,8","1,9","1,4","17,8"
51,Gallia,aggressive_trade,False,"3,07","2,1","3,4","2,7","3,2","2,7","2,9","4,1","2,5","2,6","2,1","2,6","30,9"
52,Gallia,conservative_trade,False,"2,3",1,"1,2",2,"1,8","1,3","1,8","1,9","1,9","1,1",2,"0,7","16,7"
53,Gallia,conservative_trade,False,"1,2","0,9","1,5","1,9","1,8","1,9","2,1","1,6","1,6","1,8","1,7","1,1","17,9"
54,Gallia,aggressive_trade,False,"1,29","2,9","4,6","2,2","2,3","3,3","2,4","2,8","2,5","3,3","2,7","2,1","31,1"
55,Gallia,conservative_trade,False,"2,47","1,5","1,2","1,8","2,5","1,4","1,7","1,9","2,3","1,8","1,3","1,8","19,2"
56,Gallia,conservative_trade,False,"2,54","1,5","1,2","1,9","1,5","1,5","1,2","1,8","2,3","1,8","1,5","2,3","18,5"
57,Gallia,conservative_trade,False,"2,79","1,3","1,8",2,"1,2","2,2","1,5","1,4","1,6","1,5","1,9","1,9","18,3"
58,Gallia,conservative_trade,False,"2,93","1,6","2,3","1,4","1,2","1,5","1,3","2,3","2,3","2,3","1,7","1,3","19,2"
59,Gallia,conservative_trade,False,"2,37","2,4","1,2","1,6","0,9","2,2","1,9","1,4","1,9",2,"1,1","1,6","18,2"
60,Gallia,random_trade,False,"2,9","1,5","2,3","2,6","2,1","3,1","1,9","2,4","2,3","3,4","1,5","2,7","25,8"
61,Iberian Peninsula,aggressive_trade,False,"1,95","2,3","2,7","1,8","2,5","3,4","3,2","3,2","3,8","2,6","3,6","2,1","31,2"
62,Iberian Peninsula,aggressive_trade,False,"2,12","2,4","4,1","3,2","2,6","3,2","3,4","2,2","2,6","1,8","2,5","2,7","30,7"
63,Iberian Peninsula,random_trade,False,"1,87","2,2","2,3","2,6","2,2","1,9","2,7","2,3","2,8","1,7","2,1","2,4","25,2"
64,Iberian Peninsula,aggressive_trade,False,"1,9",3,"3,8","2,6","3,6","2,7","3,9","2,2","2,3","1,9","2,4","3,1","31,5"
65,Iberian Peninsula,random_trade,False,"2,22","3,4","2,6","2,5","2,6","2,2","2,9","2,6",2,"1,9","2,3","2,3","27,3"
66,Iberian Peninsula,aggressive_trade,False,"3,75","2,6","3,3","2,1","3,1","3,6","2,4","3,8","2,6","2,6","2,6","2,4","31,1"
67,Iberian Peninsula,conservative_trade,False,"1,96","1,5","2,2","1,8","2,6","1,6",2,"1,1",2,"0,9","0,9","1,4",18
68,Iberian Peninsula,random_trade,False,"3,74","1,6","2,1","2,4","2,1","1,8","3,3","2,3","1,6","3,2","2,7","2,8","25,9"
69,Iberian Peninsula,aggressive_trade,False,"3,75","3,5","2,2","2,5","1,9","2,6","2,9","2,9","2,6","4,4","2,9",3,"31,4"
70,Iberian Peninsula,random_trade,False,"3,76","2,3","2,1","2,1","3,5","2,4","2,4","2,4","1,4","1,7","2,7","3,4","26,4"
71,Italy,aggressive_trade,False,"1,16","3,2","2,6","3,6","3,7","2,8","2,7","2,9","3,1","2,8","1,8","2,7","31,9"
72,Italy,random_trade,False,4,"1,3","2,6","1,9","2,7","2,1","2,4","2,2","2,4","3,1","2,9","1,9","25,5"
73,Italy,random_trade,False,"2,38","1,8",2,"3,3","1,2","2,3","2,3","2,9","1,9","1,9","2,1","2,8","24,5"
74,Italy,conservative_trade,False,"2,15","1,4",2,"1,4","2,5","1,4","1,9","1,6","1,8","1,7","1,9","1,3","18,9"
75,Italy,aggressive_trade,False,"2,5","2,7","3,2","2,4","3,2","1,9","3,2","1,9","3,7","3,4","3,1","2,6","31,3"
76,Italy,conservative_trade,False,"3,1","1,2","1,4","1,8",2,"2,3","1,6","1,1","1,9","1,6","1,7","1,9","18,5"
