Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery,total_pottery
70,Iberian Peninsula,aggressive_trade,True,"2080,4495",7,4,"5,6","5,4",5,"6,7","6,2","5,3","6,1","5,3","56,6"
71,Italy,random_trade,False,"0,4295","3,3","3,4","3,4","3,3","3,3","3,2","3,6","2,3","2,8",4,"32,6"
72,Italy,conservative_trade,False,"0,267","1,5","1,5","1,3","1,5","2,6","1,3","2,1","1,9","1,3","1,8","16,8"
73,Italy,random_trade,False,"0,405",4,"2,7","2,8","2,5","3,4","3,7","2,9","3,2","4,5","3,1","32,8"
74,Italy,random_trade,False,"0,37825","3,3","3,7","3,4","3,1","3,8","2,7","2,5","2,5","3,7","2,7","31,4"
75,Italy,conservative_trade,False,"0,14375",2,"2,3","1,5","0,8","1,5","1,1","2,4","2,1",2,"2,1","17,8"
76,Italy,aggressive_trade,True,"1919,05625","5,1","5,9","5,2","5,5","5,6","8,2","6,1","6,2","4,9","4,3",57
77,Italy,random_trade,False,"0,4135","2,5","2,8","3,8","3,2","3,1","3,7","3,8","2,4","2,6","4,1",32
78,Italy,aggressive_trade,True,"1919,32775","6,3","5,9","6,3","6,8","5,1","4,7","5,2","6,1","6,2","5,6","58,2"
79,Italy,random_trade,False,"0,2975","3,5","2,8","4,1","3,1",3,"2,7","3,2",3,"3,4","3,7","32,5"
80,Italy,conservative_trade,False,"0,1635","1,9","1,5","2,1",2,"1,3","1,8","1,8","1,3","1,3","1,7","16,7"
81,North Africa,aggressive_trade,True,"1839,30475","6,3","6,7","6,5","4,8","5,3","5,5","5,1","5,3","6,5","5,6","57,6"
82,North Africa,random_trade,False,"0,3445",3,"3,2","3,2","2,8","4,2","4,1","2,9","3,9","4,4","2,6","34,3"
83,North Africa,random_trade,False,"0,389","3,5","3,1","2,8","2,8","2,3","3,6","2,7","4,3","3,9","3,4","32,4"
84,North Africa,aggressive_trade,True,"2199,50275","5,5","6,3",6,"5,8","5,5","6,9","5,4","5,2","5,7","6,5","58,8"
85,North Africa,aggressive_trade,True,"2208,61325","4,9","5,9","6,3","5,9","6,5",5,"6,5","6,8","5,4","5,4","58,6"
86,North Africa,conservative_trade,False,"0,23875","1,7",1,"2,4","1,2","2,6",1,"1,9","1,4","1,7","1,5","16,4"
87,North Africa,conservative_trade,False,"0,186","1,9","1,8","1,9","2,5","1,5","1,6","1,4","1,6","1,6","1,4","17,2"
88,North Africa,random_trade,False,"0,47925","2,5","3,4","3,5","4,2","2,8","2,2","3,7","4,9","2,9","3,2","33,3"
89,North Africa,random_trade,False,"0,4","3,7","3,9","4,1",3,"2,5","3,7","3,1","2,7","3,4","3,6","33,7"
90,North Africa,conservative_trade,False,"0,228","1,2","1,2","1,5","1,5","2,1","2,1","2,4","1,9","1,5","2,2","17,6"
91,Tarraconensis,random_trade,False,"0,288","3,2",4,"3,8","3,2","4,1","3,9","3,2",2,"4,4","3,1","34,9"
92,Tarraconensis,conservative_trade,False,"0,1805","1,5","1,1","1,7","2,8","2,2","1,6","2,1","1,7","1,6","2,1","18,4"
93,Tarraconensis,random_trade,False,"0,30525","4,4","3,9",3,"3,2","3,1","3,6","3,6","4,4","2,8","3,4","35,4"
94,Tarraconensis,random_trade,False,"0,562","2,9","4,1","4,4","3,3","2,8","3,6","3,2",4,"3,4","2,4","34,1"
95,Tarraconensis,random_trade,False,"0,28625",3,"4,1","2,9","4,4","4,3","3,4","3,8","3,1","2,8","3,2",35
96,Tarraconensis,random_trade,False,"0,3045","3,7","3,5","2,9",3,"2,9","3,5","4,3","2,7","3,3","3,3","33,1"
97,Tarraconensis,random_trade,False,"0,3515","3,1",3,4,"2,8","3,9","3,6","4,6","3,1","3,2","2,8","34,1"
98,Tarraconensis,conservative_trade,False,"0,21575","1,4","1,6","2,4","1,4","1,4","2,3","1,6",2,"1,7","2,1","17,9"
99,Tarraconensis,aggressive_trade,True,"2414,268","5,7","5,1","6,6","6,3","6,1","6,4","5,9","6,1","5,4","6,6","60,2"
100,Tarraconensis,random_trade,False,"0,57525","2,8","2,4",4,"3,7","2,9",3,"4,4","3,2","4,4","4,7","35,5"
