Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,AdriaticPottery,GallicPottery,NAPottery,EMPottery,BaeticanPottery,IberianPottery,EgyptianPottery,ItalianPottery,TarrPottery,AegeanPottery
66,Iberian Peninsula,conservative_trade,False,0.1387500000000733,1.9,1.7,1.3,1.8,1.6,1.7,1.7,1.9,1.8,1.7
67,Iberian Peninsula,random_trade,False,0.2847500000000429,3.4,3.4,4.1,2.3,2.9,3.0,3.4,3.3,3.3,3.9
68,Iberian Peninsula,random_trade,False,0.3910000000000345,3.3,3.3,3.1,2.5,3.5,4.0,3.6,2.5,3.7,2.2
69,Iberian Peninsula,conservative_trade,False,0.21699999999999306,1.3,2.2,1.7,1.4,1.3,2.0,1.2,1.4,2.3,1.6
70,Iberian Peninsula,aggressive_trade,True,2080.4495000000006,7.0,4.0,5.6,5.4,5.0,6.7,6.2,5.3,6.1,5.3
71,Italy,random_trade,False,0.42950000000009025,3.3,3.4,3.4,3.3,3.3,3.2,3.6,2.3,2.8,4.0
72,Italy,conservative_trade,False,0.26700000000012,1.5,1.5,1.3,1.5,2.6,1.3,2.1,1.9,1.3,1.8
73,Italy,random_trade,False,0.40500000000007175,4.0,2.7,2.8,2.5,3.4,3.7,2.9,3.2,4.5,3.1
74,Italy,random_trade,False,0.37825000000011155,3.3,3.7,3.4,3.1,3.8,2.7,2.5,2.5,3.7,2.7
75,Italy,conservative_trade,False,0.14375000000004784,2.0,2.3,1.5,0.8,1.5,1.1,2.4,2.1,2.0,2.1
76,Italy,aggressive_trade,True,1919.0562500000015,5.1,5.9,5.2,5.5,5.6,8.2,6.1,6.2,4.9,4.3
77,Italy,random_trade,False,0.4135000000000047,2.5,2.8,3.8,3.2,3.1,3.7,3.8,2.4,2.6,4.1
78,Italy,aggressive_trade,True,1919.3277500000008,6.3,5.9,6.3,6.8,5.1,4.7,5.2,6.1,6.2,5.6
79,Italy,random_trade,False,0.29749999999997667,3.5,2.8,4.1,3.1,3.0,2.7,3.2,3.0,3.4,3.7
80,Italy,conservative_trade,False,0.16350000000008805,1.9,1.5,2.1,2.0,1.3,1.8,1.8,1.3,1.3,1.7
81,North Africa,aggressive_trade,True,1839.3047500000007,6.3,6.7,6.5,4.8,5.3,5.5,5.1,5.3,6.5,5.6
82,North Africa,random_trade,False,0.34450000000008707,3.0,3.2,3.2,2.8,4.2,4.1,2.9,3.9,4.4,2.6
83,North Africa,random_trade,False,0.3890000000000353,3.5,3.1,2.8,2.8,2.3,3.6,2.7,4.3,3.9,3.4
84,North Africa,aggressive_trade,True,2199.502750000001,5.5,6.3,6.0,5.8,5.5,6.9,5.4,5.2,5.7,6.5
85,North Africa,aggressive_trade,True,2208.6132500000003,4.9,5.9,6.3,5.9,6.5,5.0,6.5,6.8,5.4,5.4
86,North Africa,conservative_trade,False,0.2387500000000275,1.7,1.0,2.4,1.2,2.6,1.0,1.9,1.4,1.7,1.5
87,North Africa,conservative_trade,False,0.1860000000000313,1.9,1.8,1.9,2.5,1.5,1.6,1.4,1.6,1.6,1.4
88,North Africa,random_trade,False,0.4792500000000987,2.5,3.4,3.5,4.2,2.8,2.2,3.7,4.9,2.9,3.2
89,North Africa,random_trade,False,0.3999999999999737,3.7,3.9,4.1,3.0,2.5,3.7,3.1,2.7,3.4,3.6
90,North Africa,conservative_trade,False,0.2280000000001107,1.2,1.2,1.5,1.5,2.1,2.1,2.4,1.9,1.5,2.2
91,Tarraconensis,random_trade,False,0.28800000000004833,3.2,4.0,3.8,3.2,4.1,3.9,3.2,2.0,4.4,3.1
92,Tarraconensis,conservative_trade,False,0.18049999999999633,1.5,1.1,1.7,2.8,2.2,1.6,2.1,1.7,1.6,2.1
93,Tarraconensis,random_trade,False,0.30524999999995817,4.4,3.9,3.0,3.2,3.1,3.6,3.6,4.4,2.8,3.4
94,Tarraconensis,random_trade,False,0.5620000000001087,2.9,4.1,4.4,3.3,2.8,3.6,3.2,4.0,3.4,2.4
95,Tarraconensis,random_trade,False,0.28625000000002815,3.0,4.1,2.9,4.4,4.3,3.4,3.8,3.1,2.8,3.2
96,Tarraconensis,random_trade,False,0.30449999999998717,3.7,3.5,2.9,3.0,2.9,3.5,4.3,2.7,3.3,3.3
97,Tarraconensis,random_trade,False,0.3514999999999975,3.1,3.0,4.0,2.8,3.9,3.6,4.6,3.1,3.2,2.8
98,Tarraconensis,conservative_trade,False,0.21575000000002742,1.4,1.6,2.4,1.4,1.4,2.3,1.6,2.0,1.7,2.1
99,Tarraconensis,aggressive_trade,True,2414.268000000001,5.7,5.1,6.6,6.3,6.1,6.4,5.9,6.1,5.4,6.6
100,Tarraconensis,random_trade,False,0.5752500000000158,2.8,2.4,4.0,3.7,2.9,3.0,4.4,3.2,4.4,4.7
